City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,18.61,88,87,11.52,SH,1738530566
1,papatowai,-46.5619,169.4708,17.4,45,41,5.39,NZ,1738530567
2,malango,-2.9627,119.9001,18.7,87,98,1.78,ID,1738530568
3,puerto natales,-51.7236,-72.4875,10.25,62,75,10.8,CL,1738530569
4,helena valley southeast,46.6153,-111.9216,-3.57,79,100,5.66,US,1738530570
5,olonkinbyen,70.9221,-8.7187,-1.21,96,100,4.5,SJ,1738530571
6,west island,-12.1568,96.8225,27.99,83,40,8.23,CC,1738530572
7,lorengau,-2.0226,147.2712,28.38,75,100,4.89,PG,1738530574
8,vernon,50.2581,-119.2691,-5.31,54,83,2.24,CA,1738530575
9,lebu,-37.6167,-73.65,18.37,75,5,4.03,CL,1738530576
10,adamstown,-25.066,-130.1015,25.07,76,41,5.59,PN,1738530577
11,longyearbyen,78.2186,15.6401,2.91,65,40,5.14,SJ,1738530578
12,tralee,52.2704,-9.7026,6.65,83,99,3.13,IE,1738530579
13,port-aux-francais,-49.35,70.2167,3.16,97,100,23.19,TF,1738530581
14,blackmans bay,-43.0167,147.3167,18.18,88,6,2.35,AU,1738530582
15,ormara,25.2088,64.6357,19.52,55,0,4.97,PK,1738530583
16,vinton,37.281,-79.897,7.67,57,75,2.68,US,1738530575
17,qianzhou,28.3167,109.7167,4.8,95,100,0.78,CN,1738530585
18,st. john's,47.5649,-52.7093,-7.24,70,90,3.58,CA,1738530586
19,aswan,24.0934,32.907,19.33,45,79,3.79,EG,1738530588
20,watampone,-4.5386,120.3279,25.23,81,100,1.71,ID,1738530589
21,bethel,41.3712,-73.414,-2.99,72,100,0.89,US,1738530590
22,maymana,35.9214,64.7836,1.4,64,9,0.52,AF,1738530591
23,jayapura,-2.5333,140.7,25.66,94,100,1.86,ID,1738530592
24,praia,14.9215,-23.5087,21.3,56,1,9.77,CV,1738530593
25,san felipe,10.3399,-68.7425,26.11,55,61,4.69,VE,1738530594
